ID,NAME,ADDRESS,CITY,REGION,POSTALCODE,LAT,LON
ICL0004232,Vijay Bhawani Garments,"14-6-440,Near Chatri,Begum Bazaar",Hyderabad,Telangana,500012,17.37744,78.47167
ICL0004236,Gas Jeans,"Shop No 1, Plot No 502, H No-8-2-293/82/ A/502, Rd Number 36, Jubilee Hills",Hyderabad,Telangana,500033,17.43404,78.40506
ICL0004241,Chaclni Collection,"7/31/1,Madhurapuri Colony,Road No 2,Dilsukh Nagar",Hyderabad,Telangana,500060,17.38078,78.54018
ICL0004246,Shree Ganesh Timber Sales,"Plot No 71,H No 5-5-989,Agamaiah Nagar Colony,Opposite Surabhi Hotel,Chintal Kunta,L B Nagar",Hyderabad,Telangana,500070,17.34089,78.56365
ICL0004252,Care Dental Hospital,"No 1-130,Above Appollo Pharmacy,Dtdc,Main Road,(Behind Busstop)Miyapur",Hyderabad,Telangana,500049,17.49571,78.3579
ICL0004267,Jm Digitals,"Shop No 6/70/5,Opposite Telephone Exchange,Ring Road,L B Nagar",Hyderabad,Telangana,500074,17.34721,78.54963
ICL0004332,Sri Venkatasai Trading Private Limited,"2-1-407, A&B, Ground Floor, 5&6 Shanti Bhavan, Nallakunta, Near Tilak Nagar Railway Bridge",Hyderabad,Telangana,500050,17.49496,78.32931
ICL0004352,L K Industries,"Shop No-2-114,Road No 5,Sobhana Colony,Balanagar",Hyderabad,Telangana,500037,17.4658,78.445
ICL0004373,Aarush Agency,"21/2/430/A, Mitti Ka Shar, Charminar,",Hyderabad,Telangana,500002,17.36383,78.47268
ICL0004397,Canara Bank Atm,"Ganesh Nagar, Ramanthapur, Gaddi Annaram, Near Narayana Junior College",Hyderabad,Telangana,500013,17.39606,78.53166
ICL0004426,Raja Textiles,"1-132,Malkaganj Giri,Bhavani Nagar",Hyderabad,Telangana,500018,17.46859,78.42999
ICL0004468,Chem Fine Chem,"B-6/11,B N R Complex,Shapur Nagar Ph-1,I D A Jedimetla",Hyderabad,Telangana,500055,17.51436,78.44774
ICL0004473,Mirza Faheed Baig,"173 C Block, Park Lane, Park Lane, Nr Dtdc Courier And Cargo Ltd",Hyderabad,Telangana,500003,17.44085,78.49001
ICL0004648,Madhuri Manney,"5,Sarvasukhi Society,Maredpally (W)",Hyderabad,Telangana,500026,17.44598,78.50198
ICL0004656,Lakhani Food Products,Narayanguda,Hyderabad,Telangana,500029,17.39693,78.49014
ICL0004683,Cresta Ent,"11-6-A,Temple Alwal Road,Golnaka,Alwal",Hyderabad,Telangana,500010,17.50304,78.51184
